type,amount,oldbalanceOrg,newbalanceOrig,isFraud
1,188249.17,188249.17,0.0,1
0,13784.58,150359.54,136574.96,0
2,446032.95,446032.95,0.0,1
2,115418.99,31230.0,0.0,0
2,201734.68,1550.0,0.0,0
2,38265.2,0.0,0.0,0
4,79681.52,99128.0,178809.52,0
1,281455.24,20182.0,0.0,0
2,321732.81,50195.0,0.0,0
2,522343.83,522343.83,0.0,1
1,1534926.96,1534926.96,0.0,1
2,110707.5,160464.0,49756.5,0
0,17780.94,0.0,0.0,0
1,907361.75,907361.75,0.0,1
2,31315.51,31315.51,0.0,1
1,655294.3,655294.3,0.0,1
1,1635599.53,115.0,0.0,0
0,177.75,74994.0,74816.25,0
2,470325.08,470325.08,0.0,1
1,442972.75,0.0,0.0,0
1,944931.81,504430.83,0.0,0
1,1030417.74,1030417.74,0.0,1
2,50923.8,39325.0,0.0,0
2,19472.0,19472.0,0.0,1
1,322113.91,322113.91,0.0,1
1,823678.44,5722.77,0.0,0
0,11017.66,141092.1,130074.44,0
2,247491.27,14715.0,0.0,0
0,21354.66,10630.0,0.0,0
2,564263.94,564263.94,0.0,1
1,256417.06,256417.06,0.0,1
1,7887.75,7887.75,0.0,1
0,18420.97,4127.0,0.0,0
2,2763398.31,2763398.31,0.0,1
2,916886.3,916886.3,0.0,1
2,1961426.59,1961426.59,0.0,1
2,445705.76,445705.76,0.0,1
1,5652984.46,0.0,0.0,0
2,73121.84,228426.0,155304.16,0
2,4454632.3,4454632.3,0.0,1
4,592480.59,18527.0,611007.59,0
1,327325.32,49980.0,0.0,0
1,325668.67,325668.67,0.0,1
1,70173.64,70173.64,0.0,1
2,548161.93,548161.93,0.0,1
0,5621.96,0.0,0.0,0
1,1518718.03,1518718.03,0.0,1
1,45053.05,45053.05,0.0,1
2,619502.08,619502.08,0.0,1
0,3710.18,21244.0,17533.82,0
2,200262.62,0.0,0.0,0
1,127528.92,127528.92,0.0,1
2,207241.52,207241.52,0.0,1
1,149535.0,149535.0,0.0,1
1,10000000.0,20536624.41,10536624.41,1
4,161442.5,756701.91,918144.41,0
2,0.0,0.0,0.0,1
0,2576.38,0.0,0.0,0
1,882011.04,882011.04,0.0,1
4,103943.24,992872.62,1096815.86,0
0,11345.61,10254.0,0.0,0
1,517183.38,517183.38,0.0,1
2,62898.81,62898.81,0.0,1
0,544.59,0.0,0.0,0
1,1123561.68,1123561.68,0.0,1
4,333895.98,1401032.38,1734928.36,0
4,103466.19,6660640.62,6764106.81,0
2,51113.0,51113.0,0.0,1
1,4483868.79,4483868.79,0.0,1
2,9366.63,9366.63,0.0,1
2,64319.46,64319.46,0.0,1
0,31034.78,329757.29,298722.51,0
1,2259723.96,0.0,0.0,0
2,69827.82,360217.94,290390.12,0
1,617579.51,0.0,0.0,0
2,1562871.32,1562871.32,0.0,1
0,18919.88,0.0,0.0,0
2,1383818.98,1383818.98,0.0,1
0,1797.29,254414.0,252616.71,0
4,136846.43,1504.0,138350.43,0
2,67232.04,0.0,0.0,0
2,526527.46,35879.0,0.0,0
1,304472.46,304472.46,0.0,1
2,615398.61,615398.61,0.0,1
2,533762.46,102790.0,0.0,0
1,627586.04,627586.04,0.0,1
2,95504.5,3971.67,0.0,0
4,60886.37,18121208.68,18182095.06,0
1,771024.82,771024.82,0.0,1
2,704328.29,704328.29,0.0,1
1,2627070.5,2627070.5,0.0,1
2,204778.86,204778.86,0.0,1
2,152372.18,152372.18,0.0,1
1,13266.93,13266.93,0.0,1
2,989966.55,989966.55,0.0,1
2,1418168.85,1418168.85,0.0,1
1,10000000.0,15049594.33,5049594.33,1
2,49035.29,0.0,0.0,0
1,328739.86,0.0,0.0,0
2,232000.67,128674.74,0.0,0
2,7466.12,7466.12,0.0,1
2,379693.46,0.0,0.0,0
4,129421.75,3253530.82,3382952.57,0
1,7218629.01,7218629.01,0.0,1
1,203848.61,203848.61,0.0,1
2,51416.07,51416.07,0.0,1
1,147267.01,147267.01,0.0,1
2,343972.5,343972.5,0.0,1
0,5956.89,659795.1,653838.21,0
0,8281.33,5098.0,0.0,0
0,33070.71,34309.7,1238.98,0
1,474467.2,474467.2,0.0,1
2,1165171.47,1165171.47,0.0,1
2,10000000.0,10000000.0,0.0,1
2,2291498.65,2291498.65,0.0,1
0,7334.41,25695.0,18360.59,0
1,246938.77,246938.77,0.0,1
2,368952.21,11511.0,0.0,0
1,358440.67,358440.67,0.0,1
0,10537.55,2275.0,0.0,0
2,151274.56,20387.0,0.0,0
2,243348.28,243348.28,0.0,1
2,433379.1,52603.0,0.0,0
2,368951.94,368951.94,0.0,1
1,4731371.88,4731371.88,0.0,1
1,114864.37,114864.37,0.0,1
1,348751.45,348751.45,0.0,1
0,11960.59,0.0,0.0,0
4,5372.68,2962267.89,2967640.58,0
4,128807.1,6718363.57,6847170.67,0
2,139955.99,0.0,0.0,0
0,15192.82,23706.28,8513.46,0
2,319572.99,0.0,0.0,0
1,725326.65,135897.99,0.0,0
2,72645.93,28821.0,0.0,0
4,95986.94,16315651.8,16411638.74,0
2,291519.84,0.0,0.0,1
2,225850.53,225850.53,0.0,1
1,1495203.8,1495203.8,0.0,1
0,3040.83,26988.0,23947.17,0
1,234787.38,234787.38,0.0,1
2,43814.15,43814.15,0.0,1
1,3284197.88,3284197.88,0.0,1
2,989954.57,989954.57,0.0,1
1,644876.5,0.0,0.0,0
1,1586479.66,1586479.66,0.0,1
1,1363674.48,1363674.48,0.0,1
2,173309.11,173309.11,0.0,1
1,16274.51,16274.51,0.0,1
1,288263.38,288263.38,0.0,1
2,263262.97,59435.0,0.0,0
1,1338487.47,1338487.47,0.0,1
4,464738.11,159729.0,624467.11,0
1,167606.49,167606.49,0.0,1
2,4872.36,0.0,0.0,0
2,271496.53,0.0,0.0,0
2,570135.07,570135.07,0.0,1
0,36260.71,3650.59,0.0,0
1,1034772.39,12086.0,0.0,0
2,3387.14,0.0,0.0,0
2,56231.05,56231.05,0.0,1
1,1579028.55,0.0,0.0,0
0,11514.98,31672.0,20157.02,0
4,295609.81,23105636.0,23401245.8,0
2,125364.39,32224.34,0.0,0
1,13659.45,13659.45,0.0,1
2,156031.94,0.0,0.0,0
2,3641525.7,3641525.7,0.0,1
4,458033.9,49741.0,507774.9,0
2,1276300.86,1276300.86,0.0,1
2,2248584.96,2248584.96,0.0,1
1,2600970.32,2600970.32,0.0,1
1,15371.72,15371.72,0.0,1
1,275735.52,1098.0,0.0,0
0,22281.21,84853.45,62572.24,0
2,372703.48,372703.48,0.0,1
2,98204.09,17451.0,0.0,0
4,253671.19,12839328.16,13092999.35,0
0,52367.73,0.0,0.0,0
1,1220.8,1220.8,0.0,1
1,1613728.63,0.0,0.0,0
1,540530.08,540530.08,0.0,1
2,367980.99,367980.99,0.0,1
0,6091.47,0.0,0.0,0
2,35300.36,20653.0,0.0,0
0,4104.26,0.0,0.0,0
1,8720558.46,8720558.46,0.0,1
1,3864609.52,3864609.52,0.0,1
2,105903.18,105903.18,0.0,1
1,1398166.84,1398166.84,0.0,1
0,27763.31,0.0,0.0,0
4,48619.41,5989576.37,6038195.79,0
4,150978.94,2020202.79,2171181.73,0
1,264058.41,264058.41,0.0,1
0,8361.08,0.0,0.0,0
3,8737.9,23206.94,14469.03,0
2,629958.0,629958.0,0.0,1
0,319.67,5405.0,5085.33,0
1,4758180.79,4758180.79,0.0,1
0,1891.51,0.0,0.0,0
1,447009.83,447009.83,0.0,1
1,190215.18,190215.18,0.0,1
2,157449.92,0.0,0.0,0
2,151752.4,0.0,0.0,0
2,9065.44,9065.44,0.0,1
1,59817.72,0.0,0.0,0
1,283121.68,283121.68,0.0,1
2,2137134.15,2137134.15,0.0,1
2,128896.93,0.0,0.0,0
1,2666139.51,2666139.51,0.0,1
0,5990.08,438118.42,432128.34,0
4,31352.18,6234290.65,6265642.82,0
2,119481.44,21297.0,0.0,0
2,73569.97,0.0,0.0,0
2,227913.84,117657.0,0.0,0
0,22764.17,493924.18,471160.01,0
2,47662.13,47662.13,0.0,1
1,223730.4,223730.4,0.0,1
2,41438.2,0.0,0.0,0
4,344213.02,6755334.9,7099547.92,0
2,29707.86,29707.86,0.0,1
0,39403.93,0.0,0.0,0
1,1380940.73,1380940.73,0.0,1
2,345406.84,41007.0,0.0,0
2,233288.1,188858.0,0.0,0
1,1567549.99,1567549.99,0.0,1
1,1159831.33,1159831.33,0.0,1
0,11140.09,315391.79,304251.69,0
2,342309.91,342309.91,0.0,1
2,88974.4,0.0,0.0,0
2,243028.65,243028.65,0.0,1
1,626195.24,626195.24,0.0,1
2,51027.75,21362.0,0.0,0
0,8334.05,424821.02,416486.97,0
2,50523.78,50523.78,0.0,1
2,51725.86,51725.86,0.0,1
2,121626.82,121626.82,0.0,1
4,174672.81,29418.0,204090.81,0
2,458593.92,35862.0,0.0,0
2,590606.22,0.0,0.0,0
1,404185.57,404185.57,0.0,1
2,2689.43,2689.43,0.0,1
1,3794763.63,3794763.63,0.0,1
1,99458.21,99458.21,0.0,1
1,401529.35,401529.35,0.0,1
1,1709224.02,1709224.02,0.0,1
2,107206.88,26876.0,0.0,0
1,1041647.06,1041647.06,0.0,1
2,271431.96,114088.69,0.0,0
0,29195.05,161592.36,132397.32,0
2,4738282.28,4738282.28,0.0,1
4,409210.92,4921365.54,5330576.46,0
1,625668.13,0.0,0.0,0
2,170291.36,0.0,0.0,0
2,3178881.71,3178881.71,0.0,1
2,10000000.0,10000000.0,0.0,1
2,526071.46,526071.46,0.0,1
2,160088.68,160088.68,0.0,1
4,103194.79,20907.0,124101.79,0
1,252189.32,252189.32,0.0,1
2,448797.68,200942.0,0.0,0
2,193057.82,375.0,0.0,0
4,85406.64,2259529.55,2344936.19,0
1,103053.5,103053.5,0.0,1
2,146428.24,141.0,0.0,0
4,102772.78,100485.0,203257.78,0
1,1388951.5,1388951.5,0.0,1
0,1102.71,0.0,0.0,0
2,215276.03,0.0,0.0,0
2,0.0,0.0,0.0,1
2,239473.85,239473.85,0.0,1
0,6970.13,0.0,0.0,0
1,10000000.0,17476725.66,7476725.66,1
2,2654302.46,2654302.46,0.0,1
2,333164.26,0.0,0.0,0
4,211325.16,4476110.94,4687436.1,0
2,6961359.11,6961359.11,0.0,1
0,5594.89,8578.0,2983.11,0
1,426173.04,426173.04,0.0,1
4,523486.84,496645.0,1020131.84,0
4,234669.1,12700674.68,12935343.78,0
1,5614246.07,5614246.07,0.0,1
0,7550.52,8090.0,539.48,0
0,7267.25,4947.0,0.0,0
1,18028.13,18028.13,0.0,1
0,10128.13,0.0,0.0,0
2,460436.43,460436.43,0.0,1
2,131594.12,131594.12,0.0,1
1,1011249.64,1011249.64,0.0,1
2,263648.35,31573.0,0.0,0
2,916644.03,916644.03,0.0,1
0,82632.46,10700.0,0.0,0
1,10000000.0,13120690.98,3120690.98,1
0,23704.8,31213.0,7508.2,0
2,23413.67,23413.67,0.0,1
0,1241.97,222882.0,221640.03,0
4,68804.53,99160.0,167964.53,0
2,202809.38,32281.0,0.0,0
0,1291.56,0.0,0.0,0
2,98700.56,200932.0,102231.44,0
3,4024.22,102365.0,98340.78,0
1,330454.91,0.0,0.0,0
4,319300.32,1159085.79,1478386.11,0
1,181.0,181.0,0.0,1
1,30171.95,30171.95,0.0,1
0,1107.82,11751.0,10643.18,0
2,147186.94,147186.94,0.0,1
2,76428.71,0.0,0.0,0
1,36541.37,0.0,0.0,0
4,460374.43,1300.0,461674.43,0
2,394894.05,27797.0,0.0,0
2,978103.4,978103.4,0.0,1
4,272493.6,1968917.13,2241410.72,0
2,171804.76,210.0,0.0,0
4,28867.56,1640898.26,1669765.82,0
2,279093.44,0.0,0.0,0
1,42083.84,0.0,0.0,0
4,115428.38,3185648.23,3301076.61,0
1,475315.61,475315.61,0.0,1
1,1131750.38,1131750.38,0.0,1
0,13936.8,42164.58,28227.77,0
0,5465.38,21011.0,15545.62,0
2,38323.94,219600.0,181276.06,0
1,186567.41,186567.41,0.0,1
1,3588174.94,3588174.94,0.0,1
1,3607917.73,3607917.73,0.0,1
2,13025.56,55969.0,42943.44,0
2,286321.34,0.0,0.0,0
1,1455839.54,1455839.54,0.0,1
0,8906.36,12239.0,3332.64,0
1,245131.16,0.0,0.0,0
2,475693.24,475693.24,0.0,1
4,59846.6,4339677.57,4399524.17,0
1,150918.89,0.0,0.0,0
2,3846781.01,3846781.01,0.0,1
2,262449.36,0.0,0.0,0
2,242350.89,113.0,0.0,0
2,8020192.15,8020192.15,0.0,1
0,12782.26,53546.0,40763.74,0
2,271908.4,271908.4,0.0,1
2,237050.01,7450.0,0.0,0
2,136908.94,0.0,0.0,0
4,237692.69,203917.0,441609.69,0
2,998086.61,998086.61,0.0,1
2,408724.54,408724.54,0.0,1
2,10000000.0,10000000.0,0.0,1
4,158703.88,107834.0,266537.88,0
4,208988.4,1951745.39,2160733.79,0
2,10000000.0,10000000.0,0.0,1
4,107625.12,34591.0,142216.12,0
1,10000000.0,10536624.41,536624.41,1
1,975389.94,975389.94,0.0,1
1,3019699.77,3019699.77,0.0,1
2,3444943.59,3444943.59,0.0,1
2,90346.05,90346.05,0.0,1
2,1015051.7,1015051.7,0.0,1
2,144876.4,144876.4,0.0,1
4,298848.72,27354.0,326202.72,0
4,289250.84,1027955.12,1317205.96,0
1,56881.56,2138.0,0.0,0
0,7976.73,0.0,0.0,0
0,57025.36,0.0,0.0,0
2,35664.51,6011.0,0.0,0
1,273408.94,273408.94,0.0,1
1,812226.74,10375.0,0.0,0
2,303607.99,0.0,0.0,0
1,245106.78,245106.78,0.0,1
1,269545.63,269545.63,0.0,1
4,65969.84,17956096.67,18022066.51,0
0,726.53,357786.49,357059.96,0
2,57466.42,57466.42,0.0,1
2,3879669.76,3879669.76,0.0,1
0,12719.28,390795.2,378075.91,0
0,9661.43,425168.01,415506.58,0
2,81677.17,81677.17,0.0,1
2,146577.71,170.0,0.0,0
0,4596.57,114154.2,109557.63,0
0,14108.78,30101.0,15992.22,0
2,54779.75,6278.99,0.0,0
2,320977.49,320977.49,0.0,1
0,154.06,0.0,0.0,0
2,135977.23,135977.23,0.0,1
1,948288.3,948288.3,0.0,1
1,1258706.84,1258706.84,0.0,1
2,739584.33,739584.33,0.0,1
0,6758.36,82532.4,75774.05,0
2,6607.95,0.0,0.0,0
0,11806.5,210959.38,199152.88,0
0,2236.87,12527.0,10290.13,0
1,797235.09,797235.09,0.0,1
4,287739.05,0.0,287739.05,0
0,1026.23,0.0,0.0,0
2,108905.13,85236.56,0.0,0
0,7669.35,490473.9,482804.55,0
1,1200702.71,1200702.71,0.0,1
1,134383.84,134383.84,0.0,1
0,24637.61,164209.65,139572.04,0
2,171572.06,171572.06,0.0,1
2,216361.56,0.0,0.0,0
2,99139.27,99139.27,0.0,1
1,1136229.31,20237.0,0.0,0
4,32699.48,3183344.63,3216044.1,0
2,149144.75,6094.0,0.0,0
0,1678.51,0.0,0.0,0
0,36299.82,179309.0,143009.18,0
2,168498.28,0.0,0.0,0
1,720488.59,0.0,0.0,0
4,81759.6,767357.4,849117.01,0
0,9947.42,0.0,0.0,0
2,398041.98,398041.98,0.0,1
2,113180.87,0.0,0.0,0
0,27367.64,0.0,0.0,0
4,157075.24,375560.75,532635.99,0
2,79323.25,79323.25,0.0,1
1,1016302.6,1016302.6,0.0,1
1,116419.58,116419.58,0.0,1
4,161398.69,1558022.31,1719421.0,0
1,7620549.14,7620549.14,0.0,1
2,64883.91,0.0,0.0,0
4,45814.71,15470.0,61284.71,0
2,138683.45,0.0,0.0,0
1,20528.63,0.0,0.0,0
0,6593.94,23301.1,16707.16,0
4,57155.36,26980547.21,27037702.57,0
2,4022098.69,4022098.69,0.0,1
2,119569.26,132302.91,12733.66,0
4,195794.12,20100.0,215894.12,0
0,6286.8,15876.0,9589.2,0
1,8931550.69,8931550.69,0.0,1
1,375419.35,375419.35,0.0,1
1,19692.68,19692.68,0.0,1
2,210043.7,0.0,0.0,0
1,143660.11,143660.11,0.0,1
4,20328.12,2299392.13,2319720.25,0
2,175190.36,160525.0,0.0,0
1,436757.76,436757.76,0.0,1
1,235512.2,235512.2,0.0,1
2,91637.51,91637.51,0.0,1
0,5758.67,0.0,0.0,0
0,14952.07,0.0,0.0,0
1,9033760.73,9033760.73,0.0,1
1,1299860.86,1299860.86,0.0,1
2,13074.53,13074.53,0.0,1
1,4961093.21,4961093.21,0.0,1
2,14385.54,14385.54,0.0,1
2,44946.2,44946.2,0.0,1
0,6892.25,70868.0,63975.75,0
4,431034.68,70604.0,501638.68,0
1,27362.11,20487.0,0.0,0
1,7703574.71,7703574.71,0.0,1
1,197943.1,197943.1,0.0,1
0,3602.78,27455.0,23852.22,0
0,4014.11,74901.95,70887.84,0
0,16688.24,60027.0,43338.76,0
2,646676.42,646676.42,0.0,1
2,187761.76,187761.76,0.0,1
1,25761.04,25761.04,0.0,1
2,20364.0,20364.0,0.0,1
2,405062.33,405062.33,0.0,1
1,159232.01,159232.01,0.0,1
2,243747.83,243747.83,0.0,1
1,777448.03,777448.03,0.0,1
2,140523.4,140523.4,0.0,1
2,1368.5,0.0,0.0,0
2,159178.72,0.0,0.0,0
1,312955.14,312955.14,0.0,1
1,4526748.52,4526748.52,0.0,1
1,337810.17,337810.17,0.0,1
1,150405.2,150405.2,0.0,1
2,219250.65,25379.0,0.0,0
2,381247.3,381247.3,0.0,1
1,145458.94,145458.94,0.0,1
0,677.03,109925.0,109247.97,0
1,48156.69,48156.69,0.0,1
2,68947.71,0.0,0.0,0
1,4481768.26,4481768.26,0.0,1
1,1848199.45,1848199.45,0.0,1
2,12278.0,12278.0,0.0,1
2,265958.32,400068.0,134109.68,0
1,93732.16,93732.16,0.0,1
2,10000000.0,10000000.0,0.0,1
4,348352.76,2295217.01,2643569.77,0
1,45116.24,45116.24,0.0,1
2,340119.98,340119.98,0.0,1
2,40611.22,0.0,0.0,1
1,483713.23,483713.23,0.0,1
0,11271.4,384.0,0.0,0
1,160351.22,160351.22,0.0,1
0,18849.54,116112.58,97263.04,0
1,1857935.57,1857935.57,0.0,1
0,4196.32,15238.11,11041.79,0
2,176744.54,84277.0,0.0,0
1,8380.79,8380.79,0.0,1
4,197973.99,12471.0,210444.99,0
1,883366.69,883366.69,0.0,1
1,343177.04,343177.04,0.0,1
4,47268.16,51489.0,98757.16,0
2,3288377.47,3288377.47,0.0,1
2,2253811.33,2253811.33,0.0,1
2,179820.99,204359.0,24538.01,0
1,63.8,63.8,0.0,1
1,209829.57,209829.57,0.0,1
2,8783.42,8783.42,0.0,1
2,343999.8,343999.8,0.0,1
2,1165187.89,1165187.89,0.0,1
2,4623764.68,4623764.68,0.0,1
4,282216.67,1857210.46,2139427.13,0
1,8931607.89,8931607.89,0.0,1
1,92641.52,92641.52,0.0,1
0,4139.49,10569.0,6429.51,0
2,272187.2,272187.2,0.0,1
1,176549.59,176549.59,0.0,1
2,277611.08,277611.08,0.0,1
4,24475.25,10675.0,35150.25,0
2,10000000.0,10000000.0,0.0,1
0,5339.07,6236.77,897.71,0
2,7469051.14,7469051.14,0.0,1
4,523667.2,7507353.94,8031021.14,0
2,81855.13,240.0,0.0,0
2,9033760.73,9033760.73,0.0,1
1,10000000.0,25455965.86,15455965.86,1
2,3235.52,554086.0,550850.48,0
1,183902.04,0.0,0.0,0
1,1567591.24,1567591.24,0.0,1
2,45287.7,0.0,0.0,0
2,166434.43,0.0,0.0,0
1,2068313.94,2068313.94,0.0,1
2,601222.02,601222.02,0.0,1
0,6506.0,610674.67,604168.66,0
2,91434.27,0.0,0.0,0
0,11816.35,0.0,0.0,0
2,0.0,0.0,0.0,1
2,1555182.41,1555182.41,0.0,1
2,566891.42,22503.0,0.0,0
2,353098.69,0.0,0.0,0
2,221241.12,21862.0,0.0,0
1,468638.03,468638.03,0.0,1
1,262960.23,262960.23,0.0,1
1,82764.07,82764.07,0.0,1
2,349627.64,349627.64,0.0,1
2,230806.85,230806.85,0.0,1
0,46103.15,0.0,0.0,0
2,475315.61,475315.61,0.0,1
0,4585.36,0.0,0.0,0
1,2642116.95,2642116.95,0.0,1
2,196519.03,10500.0,0.0,0
2,5656416.95,5656416.95,0.0,1
1,481.9,481.9,0.0,1
1,49000.37,12897.0,0.0,0
1,757401.17,757401.17,0.0,1
2,119101.17,3966.0,0.0,0
0,2680.31,171313.0,168632.69,0
0,6092.55,159.0,0.0,0
4,203655.15,2225665.9,2429321.05,0
0,30862.37,24566.0,0.0,0
1,303846.74,303846.74,0.0,1
1,355909.21,355909.21,0.0,1
0,5214.22,111228.81,106014.59,0
1,364333.03,364333.03,0.0,1
2,173081.57,0.0,0.0,0
1,3011102.29,3011102.29,0.0,1
1,4858640.09,0.0,0.0,0
2,237642.64,237642.64,0.0,1
0,10941.48,96183.93,85242.45,0
0,27085.63,1281.0,0.0,0
2,224661.54,224661.54,0.0,1
2,785323.0,785323.0,0.0,1
1,1486955.35,1486955.35,0.0,1
0,11955.92,0.0,0.0,0
4,137529.2,8750654.13,8888183.33,0
1,6219566.63,6219566.63,0.0,1
0,5798.95,0.0,0.0,0
1,32382.31,32382.31,0.0,1
0,13548.83,61723.0,48174.17,0
2,1048.63,1048.63,0.0,1
2,217255.97,217255.97,0.0,1
2,30820.17,30820.17,0.0,1
4,314568.91,6856509.76,7171078.67,0
2,5772.0,5772.0,0.0,1
2,4872.56,684.0,0.0,0
0,17474.62,0.0,0.0,0
4,46008.37,2682834.11,2728842.48,0
1,343999.8,343999.8,0.0,1
1,234673.76,234673.76,0.0,1
2,701707.89,701707.89,0.0,1
0,52025.3,0.0,0.0,0
2,3972968.92,3972968.92,0.0,1
2,82715.3,0.0,0.0,0
1,906270.63,906270.63,0.0,1
4,108581.12,1010455.16,1119036.28,0
2,536018.37,146395.11,0.0,0
2,289423.95,0.0,0.0,0
0,13186.72,0.0,0.0,0
1,8770.06,8770.06,0.0,1
0,1849.91,0.0,0.0,0
2,152892.78,402731.22,249838.44,0
4,95972.61,17722756.26,17818728.88,0
2,138200.94,45057.78,0.0,0
1,69724.85,69724.85,0.0,1
1,6322399.97,6322399.97,0.0,1
1,46130.88,46130.88,0.0,1
0,6436.25,11230.0,4793.75,0
2,4220.31,0.0,0.0,0
4,11275.67,7276833.11,7288108.78,0
2,84621.29,0.0,0.0,0
0,28906.48,37693.86,8787.38,0
4,531991.83,1945953.57,2477945.39,0
2,28308.97,28308.97,0.0,1
1,136927.49,933.0,0.0,0
2,164098.07,72166.0,0.0,0
1,233699.25,233699.25,0.0,1
2,237273.55,2207.0,0.0,0
1,2395398.88,0.0,0.0,0
0,8617.38,0.0,0.0,0
2,130023.3,0.0,0.0,0
1,43159.0,43159.0,0.0,1
2,434800.33,7340.0,0.0,0
1,13890.42,13890.42,0.0,1
1,52795.24,52795.24,0.0,1
2,733119.42,733119.42,0.0,1
2,7041719.54,7041719.54,0.0,1
2,118245.53,0.0,0.0,0
0,7865.22,0.0,0.0,0
2,65091.34,65091.34,0.0,1
1,95105.01,95105.01,0.0,1
0,4221.33,670375.0,666153.67,0
2,3120690.98,3120690.98,0.0,1
1,461509.86,461509.86,0.0,1
2,62111.59,50122.0,0.0,0
1,76960.91,76960.91,0.0,1
4,21600.13,20489.0,42089.13,0
2,309488.9,309488.9,0.0,1
4,318339.59,3894153.28,4212492.88,0
2,14294.74,970.0,0.0,0
1,288148.22,288148.22,0.0,1
2,165368.59,165368.59,0.0,1
0,6304.71,0.0,0.0,0
0,5974.13,25318.0,19343.87,0
2,8061.18,972.0,0.0,0
2,5741.05,5741.05,0.0,1
1,3080973.39,3080973.39,0.0,1
4,65450.07,6094720.24,6160170.3,0
1,1282731.68,1282731.68,0.0,1
2,1532281.61,1532281.61,0.0,1
2,45802.43,0.0,0.0,0
2,188480.93,0.0,0.0,0
2,1842163.57,1842163.57,0.0,1
2,1293595.52,1293595.52,0.0,1
2,175788.86,4178.0,0.0,0
4,185934.05,29820.0,215754.05,0
1,10000000.0,13019699.77,3019699.77,1
1,618270.9,618270.9,0.0,1
1,745156.83,745156.83,0.0,1
2,219670.37,30874.0,0.0,0
0,27594.06,20036.0,0.0,0
1,43308.07,43308.07,0.0,1
2,180576.72,0.0,0.0,0
1,891944.51,891944.51,0.0,1
1,658855.33,658855.33,0.0,1
0,31701.74,141375.0,109673.26,0
4,307369.58,131903.0,439272.58,0
4,97795.24,1415197.24,1512992.49,0
2,1619313.55,1619313.55,0.0,1
2,9421856.87,9421856.87,0.0,1
0,2129.71,316440.66,314310.95,0
1,226804.13,226804.13,0.0,1
0,7583.29,49620.0,42036.71,0
1,125153.57,125153.57,0.0,1
1,363378.75,363378.75,0.0,1
1,1828.6,1828.6,0.0,1
1,42614.38,0.0,0.0,0
2,167255.33,0.0,0.0,0
1,1426093.12,0.0,0.0,0
2,1752606.15,1752606.15,0.0,1
2,49492.39,49492.39,0.0,1
2,214884.43,19569.0,0.0,0
2,521312.81,0.0,0.0,0
2,813775.73,813775.73,0.0,1
2,235075.62,235075.62,0.0,1
2,2539898.07,2539898.07,0.0,1
2,822361.52,822361.52,0.0,1
1,306833.41,306833.41,0.0,1
1,1936403.59,1936403.59,0.0,1
2,170038.31,170038.31,0.0,1
2,1290619.25,1290619.25,0.0,1
2,33683.15,347.0,0.0,0
